"","variable","total"
"exp_num_var","exp_num_var",1918
"value_best_num_var","value_best_num_var",2340
"signif","signif",276
"value_isBEST","value_isBEST",302
"exp_isNA","exp_isNA",48
"exp_isTIME","exp_isTIME",392
"exp_isSCALE","exp_isSCALE",270
"exp_isFIELD","exp_isFIELD",168
"exp_isSBA","exp_isSBA",28
"exp_isPRED","exp_isPRED",90
"exp_isPREDTYPE","exp_isPREDTYPE",28
"exp_isBORDERTYPE","exp_isBORDERTYPE",822
"exp_isBORDERTYPE_grass","exp_isBORDERTYPE_grass",60
"exp_isBORDERTYPE_crops","exp_isBORDERTYPE_crops",136
"exp_isBORDERTYPE_forest","exp_isBORDERTYPE_forest",322
"exp_border_buckthorn","exp_border_buckthorn",148
"exp_bordertype_alfalfa","exp_bordertype_alfalfa",12
"exp_bordertype_corn","exp_bordertype_corn",4
"exp_bordertype_canola","exp_bordertype_canola",22
"exp_bordertype_cereals","exp_bordertype_cereals",24
"exp_bordertype_soybean","exp_bordertype_soybean",18
"exp_bordertype_richness","exp_bordertype_richness",6
"exp_bordertype_generalizedcrops","exp_bordertype_generalizedcrops",12
"exp_bordertype_grass","exp_bordertype_grass",20
"exp_bordertype_prairie","exp_bordertype_prairie",18
"exp_SOYPRED","exp_SOYPRED",74
"exp_FUNGUS","exp_FUNGUS",6
"exp_isOTHER","exp_isOTHER",138
